Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Bahrain,<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers."
Bangladesh,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<200 , <200,,<200 ,<200 , <200,,<500 ,<500 , <500,,<500 ,<500 , <500,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,1000 ,<1000 , 1200,,1400 ,1300 , 1600,,2000 ,1800 , 2200,,2800 ,2500 , 3200,,3800 ,3400 , 4300,,4900 ,4400 , 5500,,6100 ,5400 , 6800,,7100 ,6300 , 8000,,8000 ,7100 , 9000,,8700 ,7700 , 9900,,9300 ,8200 , 11 000,,9700 ,8500 , 11 000,,10 000 ,8700 , 11 000,,10 000 ,9000 , 12 000,,11 000 ,9200 , 12 000,,11 000 ,9500 , 13 000,,11 000 ,9800 , 13 000,,12 000 ,10 000 , 14 000,
Barbados,<500 ,<500 , <500,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1000 ,<1000 , 1100,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1100 ,1000 , 1200,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1200 ,1100 , 1300,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1300 ,1200 , 1400,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1400 ,1300 , 1500,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1500 ,1400 , 1700,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1600 ,1500 , 1800,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1800 ,1600 , 1900,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",1900 ,1700 , 2000,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2000 ,1800 , 2200,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2100 ,1900 , 2300,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2200 ,2000 , 2400,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2300 ,2100 , 2500,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2400 ,2200 , 2600,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2400 ,2200 , 2700,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2500 ,2300 , 2700,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2600 ,2300 , 2800,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers.",2600 ,2400 , 2900,"Historical incidence trends were not available or not reliable before 2000. Estimates for children are not published because of small numbers."
Belarus,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Belgium,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Belize,<100 ,<100 , <100,"Historical incidence trends were not available or not reliable before 2000.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable before 2000.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable before 2000.",<100 ,<100 , <200,"Historical incidence trends were not available or not reliable before 2000.",<100 ,<100 , <200,"Historical incidence trends were not available or not reliable before 2000.",<100 ,<100 , <500,"Historical incidence trends were not available or not reliable before 2000.",<200 ,<100 , <500,"Historical incidence trends were not available or not reliable before 2000.",<500 ,<200 , <500,"Historical incidence trends were not available or not reliable before 2000.",<500 ,<500 , <1000,"Historical incidence trends were not available or not reliable before 2000.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable before 2000.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable before 2000.",1100 ,<1000 , 1200,"Historical incidence trends were not available or not reliable before 2000.",1400 ,1300 , 1500,"Historical incidence trends were not available or not reliable before 2000.",1800 ,1600 , 1900,"Historical incidence trends were not available or not reliable before 2000.",2100 ,1900 , 2400,"Historical incidence trends were not available or not reliable before 2000.",2500 ,2200 , 2700,"Historical incidence trends were not available or not reliable before 2000.",2700 ,2300 , 3100,"Historical incidence trends were not available or not reliable before 2000.",3000 ,2500 , 3400,"Historical incidence trends were not available or not reliable before 2000.",3200 ,2600 , 3700,"Historical incidence trends were not available or not reliable before 2000.",3400 ,2700 , 4000,"Historical incidence trends were not available or not reliable before 2000.",3500 ,2800 , 4300,"Historical incidence trends were not available or not reliable before 2000.",3700 ,3000 , 4500,"Historical incidence trends were not available or not reliable before 2000.",3800 ,3100 , 4700,"Historical incidence trends were not available or not reliable before 2000.",4000 ,3200 , 4800,"Historical incidence trends were not available or not reliable before 2000.",4100 ,3300 , 5000,"Historical incidence trends were not available or not reliable before 2000.",4200 ,3300 , 5100,"Historical incidence trends were not available or not reliable before 2000.",4300 ,3400 , 5200,"Historical incidence trends were not available or not reliable before 2000."
Benin,5200 ,3200 , 8400,,8100 ,4900 , 14 000,,12 000 ,7200 , 20 000,,17 000 ,10 000 , 28 000,,22 000 ,13 000 , 37 000,,28 000 ,17 000 , 46 000,,33 000 ,20 000 , 55 000,,38 000 ,23 000 , 63 000,,43 000 ,26 000 , 69 000,,47 000 ,29 000 , 74 000,,50 000 ,32 000 , 78 000,,53 000 ,34 000 , 81 000,,56 000 ,36 000 , 84 000,,57 000 ,38 000 , 85 000,,58 000 ,39 000 , 86 000,,58 000 ,40 000 , 86 000,,58 000 ,40 000 , 85 000,,58 000 ,40 000 , 84 000,,58 000 ,40 000 , 83 000,,59 000 ,41 000 , 84 000,,60 000 ,42 000 , 85 000,,61 000 ,43 000 , 86 000,,63 000 ,44 000 , 88 000,,64 000 ,45 000 , 90 000,,65 000 ,46 000 , 92 000,,66 000 ,47 000 , 92 000,,67 000 ,47 000 , 94 000,
Bhutan,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Bolivia (Plurinational State of),<100 ,<100 , <1000,,<200 ,<100 , <1000,,<500 ,<100 , 1100,,<1000 ,<200 , 1700,,1300 ,<500 , 2800,,2400 ,<1000 , 4600,,4200 ,1600 , 7400,,6300 ,2800 , 9700,,8100 ,4300 , 12 000,,9800 ,6000 , 14 000,,11 000 ,7800 , 15 000,,13 000 ,9200 , 17 000,,14 000 ,11 000 , 19 000,,16 000 ,12 000 , 21 000,,17 000 ,13 000 , 22 000,,18 000 ,13 000 , 23 000,,18 000 ,14 000 , 24 000,,19 000 ,14 000 , 25 000,,19 000 ,14 000 , 25 000,,19 000 ,14 000 , 26 000,,19 000 ,14 000 , 26 000,,19 000 ,14 000 , 26 000,,19 000 ,13 000 , 25 000,,18 000 ,13 000 , 25 000,,18 000 ,13 000 , 25 000,,18 000 ,13 000 , 25 000,,19 000 ,13 000 , 25 000,
Bosnia and Herzegovina,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Botswana,51 000 ,45 000 , 59 000,,72 000 ,64 000 , 80 000,,97 000 ,89 000 , 110 000,,130 000 ,120 000 , 140 000,,160 000 ,150 000 , 170 000,,190 000 ,170 000 , 200 000,,210 000 ,200 000 , 220 000,,240 000 ,220 000 , 250 000,,260 000 ,240 000 , 270 000,,280 000 ,260 000 , 290 000,,290 000 ,270 000 , 300 000,,290 000 ,280 000 , 310 000,,300 000 ,280 000 , 320 000,,300 000 ,280 000 , 320 000,,300 000 ,270 000 , 320 000,,300 000 ,270 000 , 320 000,,300 000 ,270 000 , 330 000,,310 000 ,280 000 , 330 000,,310 000 ,280 000 , 340 000,,320 000 ,280 000 , 340 000,,320 000 ,280 000 , 350 000,,330 000 ,290 000 , 360 000,,330 000 ,290 000 , 370 000,,340 000 ,300 000 , 370 000,,350 000 ,310 000 , 380 000,,350 000 ,310 000 , 390 000,,360 000 ,320 000 , 390 000,
Brazil,150 000 ,120 000 , 190 000,,170 000 ,130 000 , 220 000,,190 000 ,150 000 , 240 000,,210 000 ,160 000 , 260 000,,220 000 ,170 000 , 290 000,,240 000 ,180 000 , 310 000,,250 000 ,190 000 , 330 000,,280 000 ,210 000 , 360 000,,300 000 ,230 000 , 390 000,,320 000 ,240 000 , 420 000,,350 000 ,260 000 , 460 000,,380 000 ,280 000 , 490 000,,410 000 ,300 000 , 530 000,,430 000 ,320 000 , 560 000,,460 000 ,340 000 , 600 000,,490 000 ,370 000 , 640 000,,520 000 ,390 000 , 680 000,,550 000 ,410 000 , 720 000,,590 000 ,430 000 , 760 000,,620 000 ,450 000 , 800 000,,640 000 ,480 000 , 840 000,,680 000 ,500 000 , 880 000,,710 000 ,520 000 , 920 000,,740 000 ,540 000 , 960 000,,770 000 ,560 000 , 1 000 000,,800 000 ,590 000 , 1 000 000,,830 000 ,610 000 , 1 100 000,
Brunei Darussalam,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Bulgaria,<500 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",1000 ,<1000 , 1200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",1200 ,<1000 , 1300,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",1300 ,1100 , 1500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",1500 ,1300 , 1700,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",1900 ,1700 , 2100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",2400 ,2200 , 2600,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",2700 ,2500 , 2900,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",2900 ,2700 , 3200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3100 ,2900 , 3400,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3200 ,3000 , 3500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3300 ,3100 , 3500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3400 ,3100 , 3600,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3400 ,3100 , 3700,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3400 ,3100 , 3700,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",3500 ,3100 , 3800,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers."
Burkina Faso,140 000 ,110 000 , 180 000,,150 000 ,120 000 , 200 000,,170 000 ,130 000 , 220 000,,180 000 ,140 000 , 230 000,,180 000 ,150 000 , 230 000,,190 000 ,150 000 , 230 000,,190 000 ,150 000 , 230 000,,190 000 ,150 000 , 230 000,,180 000 ,150 000 , 220 000,,170 000 ,140 000 , 210 000,,170 000 ,130 000 , 200 000,,160 000 ,130 000 , 190 000,,150 000 ,120 000 , 180 000,,140 000 ,110 000 , 170 000,,130 000 ,100 000 , 160 000,,120 000 ,95 000 , 150 000,,120 000 ,89 000 , 140 000,,110 000 ,86 000 , 140 000,,110 000 ,83 000 , 130 000,,100 000 ,81 000 , 130 000,,100 000 ,80 000 , 120 000,,99 000 ,79 000 , 120 000,,98 000 ,79 000 , 120 000,,97 000 ,79 000 , 120 000,,96 000 ,78 000 , 120 000,,95 000 ,77 000 , 120 000,,95 000 ,77 000 , 120 000,
Burundi,13 000 ,6800 , 21 000,,19 000 ,12 000 , 28 000,,28 000 ,19 000 , 38 000,,39 000 ,29 000 , 51 000,,53 000 ,40 000 , 66 000,,68 000 ,54 000 , 83 000,,83 000 ,66 000 , 99 000,,96 000 ,79 000 , 110 000,,110 000 ,90 000 , 120 000,,110 000 ,98 000 , 130 000,,120 000 ,100 000 , 130 000,,120 000 ,110 000 , 140 000,,120 000 ,110 000 , 140 000,,120 000 ,100 000 , 130 000,,120 000 ,99 000 , 130 000,,110 000 ,93 000 , 130 000,,110 000 ,88 000 , 120 000,,100 000 ,84 000 , 120 000,,98 000 ,80 000 , 120 000,,95 000 ,77 000 , 110 000,,93 000 ,75 000 , 110 000,,91 000 ,72 000 , 110 000,,89 000 ,71 000 , 110 000,,88 000 ,70 000 , 110 000,,86 000 ,68 000 , 110 000,,85 000 ,66 000 , 110 000,,84 000 ,65 000 , 110 000,
Cabo Verde,<1000 ,<1000 , 1300,"Historical incidence trends were not available or not reliable.",<1000 ,<1000 , 1600,"Historical incidence trends were not available or not reliable.",1100 ,<1000 , 1900,"Historical incidence trends were not available or not reliable.",1300 ,<1000 , 2200,"Historical incidence trends were not available or not reliable.",1500 ,1000 , 2400,"Historical incidence trends were not available or not reliable.",1700 ,1200 , 2600,"Historical incidence trends were not available or not reliable.",1900 ,1300 , 2800,"Historical incidence trends were not available or not reliable.",2100 ,1400 , 2900,"Historical incidence trends were not available or not reliable.",2200 ,1600 , 3000,"Historical incidence trends were not available or not reliable.",2300 ,1700 , 3100,"Historical incidence trends were not available or not reliable.",2400 ,1700 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1800 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,1900 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,2000 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,2000 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,2000 , 3200,"Historical incidence trends were not available or not reliable.",2500 ,2100 , 3300,"Historical incidence trends were not available or not reliable.",2500 ,2100 , 3300,"Historical incidence trends were not available or not reliable.",2600 ,2100 , 3400,"Historical incidence trends were not available or not reliable.",2600 ,2200 , 3500,"Historical incidence trends were not available or not reliable.",2700 ,2200 , 3600,"Historical incidence trends were not available or not reliable.",2800 ,2300 , 3600,"Historical incidence trends were not available or not reliable."
